text_EN,text_ZH,labels
Not so good; I am missing a birthday party because I am ill.,不太好;我因为生病错过了一个生日派对。,0
I'm not feeling like my usual happy self.,我感觉不像往常快乐的自己。,0
Terrible. My boyfriend dumped me.,糟糕的。男朋友甩了我,0
I'm down. I failed my test.,我很郁闷我考试不及格。,0
I am feeling sad today.,我今天很难过。,0
I fell out with my friend yesterday,我昨天和朋友闹翻了,0
I want to cry,我想哭,0
I feel like shit.,我觉得自己很糟糕。,0
Not feeling good due to my inability to attend a family function.,由于无法参加家庭活动，我感觉不太好。,0
I don't think I can go on any longer.,我想我不能再继续下去了。,0
"Just feeling really at a low point in my life, nothing seems to be going right.",只是感觉真的处于我生命中的低谷，似乎什么都不对。,0
"Okay, I guess.",还好吧，我觉得。,0
Today I'm feeling pretty down. I just didn't have a good morning.,今天我心情非常低落。我只是没有一个美好的早晨。,0
"I feel awful, I didn't pass my classes and I will not graduate.",我感觉很糟糕，我没有通过我的课程，我不能毕业了。,0
"Honestly, I'm not doing well. I failed my exam.",老实说，我心情不太好。我考试没及格。,0
"Not so good, unfortunately.",很不幸，我不太好。,0
I am feeling down. I think I am sick.,我情绪低落。好像生病了。,0
I am so sad that I cried in the shower earlier.,我很伤心，我之前在淋浴时哭了。,0
"Well, I just feel that nothing is going my way.",好吧，我只是觉得没有什么是我想要的。,0
Awful. My Mom scolded me about being messy when I have been trying to clean up after myself.,很失落。当我一直在努力清理自己的时候，我妈妈骂我很乱。,0
Not very good. My husband just lost his job.,不太好。我丈夫刚失业。,0
Not so well. I can't seem to get interested in doing very much.,不太好。我似乎对做太多事情没有兴趣。,0
I don't feel too good,我感觉不太好。,0
I'm feeling really down.,我真的很沮丧。,0
"I'm feeling under the weather, my best friend won't talk to me.",我心情不好，我最好的朋友不会跟我说话。,0
I just want to cry because I feel so bad that my dog died.,我只想哭，因为我的狗死了很难受。,0
"Really down, I just can't seem to get started on anything.",真的很沮丧，我似乎无法开始任何事情。,0
I'm not feeling very well. My grandmother passed away last week.,我感觉不太好。我的祖母上周去世了。,0
"I feel awful, nothing seems to have any meaning since my dad died.",我觉得很糟糕，自从我父亲去世后，一切似乎都没有任何意义。,0
I've had a fight with my partner and I feel really sad. I feel that it was my fault.,我和我的伴侣吵架了，我真的很难过。我觉得是我的错。,0
Just miserable today.,今天简直惨不忍睹。,0
I'm not fleeling so great.,我感觉不太好。,0
Been a bit down in the dumps since I lost my job last year,自从我去年失业以来，我就有点沮丧了,0
"Quite frankly, I don't see any point in life anymore",坦率地说，我看不到生活中的任何意义了,0
Horrible. I'm just so sad.,可怕。我只是很难过。,0
I'm not doing that great today. They are taking off my favorite childhood television show.,我今天做的没那么好。他们正在推出我最喜欢的童年电视节目。,0
I feel like I want to throw up,我觉得我想吐,0
"Not good, I got in a fight with my mom.",不好，我和妈妈吵架了。,0
Feeling a little blue.,有点失落的感觉。,0
I need to get support,我需要得到支持,0
I wish I could change,我希望我能改变,0
The weather is bad and it has me down in the dumps.,天气很糟糕，它让我陷入了垃圾场。,0
I'm not feeling so well.,我感觉不太好。,0
My best friend moved across the country this week.,我最好的朋友这周搬去了很远的地方。,0
I am really sad because me and my brother got into a fight.,我真的很难过，因为我和我哥哥吵架了。,0
I'm certainly not at my best.,我当然不是处于最佳状态。,0
"My mother just died, and I can't stop crying.",我的母亲刚刚去世，我无法停止哭泣。,0
"Not so great, down, bummed out.",不太好，失望，沮丧。,0
I feel sad. My heart is broken.,我很难过。我的心碎了。,0
"i am distressed, i have been sick for many years and i cannot find a cure",我很痛苦，我已经病了很多年，我找不到治疗方法,0
I am totally feeling very bad,我完全感觉很糟糕,0
Nothing is well,什么都不好,0
I am feeling down,我情绪低落,0
"Honestly, not great.  My cat just passed away.",老实说，不是很好。我的猫刚刚去世。,0
Not feeling well. My mom was in hospital last night.,感觉不好。我妈妈昨晚住院了。,0
I can't stop crying.,我无法停止哭泣。,0
"i am sad, i fought with my boyfriend",我很难过，我和我男朋友吵架了,0
I'm down in the dumps. Everything that could go wrong has gone wrong. Kill me now.,我感觉非常费。一切可能出错的地方都出错了。想地上找个缝钻进去。,0
I had a bad day,我今天过得不好,0
I'm feeling depressed,我感到沮丧,0
"She just won't talk to me anymore, I don't know what to do.",她就是不和我说话了，我不知道该怎么办。,0
I am having a bad day today.,我今天过得很糟糕。,0
I am feeling frustrated because I can't find a way to relax.,我感到沮丧，因为我找不到放松的方法。,0
"Nothing is going my way, I never have enough money for everything.",我啥都不如意，我从来没有足够的钱做任何事情。,0
"I am very sad today, I lost a dear friend last night.",我今天很伤心，昨晚我失去了一位亲爱的朋友。,0
I am not feeling great at this time I am so sad,我现在感觉不太好我很伤心,0
I'm not enjoying myself.,我没有任何快感。,0
Could be better. My wife and family seem distant lately,有待改善。我的妻子和家人最近似乎很疏远,0
I'm depressed due to a fight with my friend.,由于和朋友吵架，我很沮丧。,0
"I 've lost motivation, it just seems like I'll never be able to bring my grades up, I'm so sad.",我失去了动力，似乎永远无法提高我的成绩，我很难过。,0
Not good really. I think my marriage is over.,真的不好。我想我的婚姻结束了。,0
I have lost a loved one and I haven't really felt happy since.,我失去了所爱的人，从那以后我就没有真正感到快乐。,0
I am feeling kinda weak and depressed.,我感觉有点虚弱和沮丧。,0
"I'm bored, I am home alone",我很无聊，我一个人在家,0
I am feeling lonely,我感到孤独,0
Today is one of those days where I would love to be a nail hammered into a wall. And just stand there,今天我感觉想成为一颗钉在墙上的钉子。就在那里呆着。,0
I am overwhelmed by grief,我被悲伤淹没,0
I feel like a wet rag,我感觉像一块湿抹布,0
"I am glad you asked, 'cause I really feel like shit lately. I think I am depressed.",我很高兴你问这个问题，因为我最近真的很糟糕。我想我很沮丧。,0
since he left me I don't really want to live anymore,自从他离开我我真的不想再活了,0
"Very sad, I donÃ•t have energy today.",非常难过，我今天没有精力。,0
I am feeling blue today as I have had an unpleasant review from one of my customers today,我今天感到很沮丧，因为我今天收到了一位客户的差评,0
"Really low, I find it hard to get out of bed most days.",情绪真的很低，我发现大多数日子都很难起床。,0
I feel like I am at the bottom of a pit: I have just lost my job,感觉自己在坑底：刚丢了工作,0
I'm feeling rather sad at the moment,此刻我感到相当难过,0
I'm quite down. I had a disagreement with my sister.,我很沮丧。我和姐姐意见不合。,0
"Could be better, I'd rather the day was over already.",不太好，我希望今天早点过去。,0
"My boyfriend broke up with me, so I'm pretty sad today",男朋友跟我分手了，今天好难过,0
I'm sad as it's a long weekend but I have to work.,我很难过，因为这是一个长周末，但我必须工作。,0
I can't stop crying because I miss my mom so much.,我无法停止哭泣，因为我非常想念我的妈妈。,0
I have been feeling quite low the last few days.,最近几天我的心情一直很低落。,0
I'm feeling a bit down. I failed a test today.,我有点沮丧。我今天考试不及格。,0
I've been better. Feeling kind of miserable.,我感觉有点惨，心情可以更好。,0
Not good at all. I'm really doubting myself lately.,一点都不好。我最近真的很怀疑自己。,0
"Not great, honestly. I just can't seem to have any positive feelings lately.",不是很好，老实说。我只是最近似乎没有任何积极的感觉。,0
I can't handle daily tasks and I feel very overwhelmed,我无法处理日常任务，我感到非常不知所措,0
I think I am coming down with something.,我好像生病了，不太舒服。,0
Not good at all. I just want to hide in my room and sleep from all of the turmoil in the world.,一点都不好。我只想躲在我的房间里，从世界上所有的动荡中睡觉。,0
I am feeling very blue today for some reason.,由于某种原因，我今天感觉很忧郁。,0
I am really down today,我今天真的很沮丧,0
Not great. I had to work two hours overtime today.,不是很好。我今天不得不加班两个小时。,0
I'm really down about myself today.,我今天对自己真的很失望。,0
I'm devastated. I can't stop crying. My dog was hit by a car today and died.,我很崩溃。我无法停止哭泣。我的狗今天被车撞死了。,0
I'm not feeling good at all.  Things are just going wrong.,我一点都不舒服。一切事情都不顺。,0
I am not as happy as I want to be.,我并不像我想的那样快乐。,0
I am so sad today,我今天好难过,0
I'm depressed,我很郁闷,0
I feel a bit hopeless.,我觉得有点绝望。,0
I am not so good because I was scolded by my superior.,我没有那么好，因为我被上级骂了。,0
My life is a mess.,我的生活一片混乱。,0
I lost a close friend today and feel really sad and lonely.,我今天失去了一个亲密的朋友，感到非常难过和孤独。,0
I feel tired; everything feels like an effort.,我累了;一切都感觉像是一种努力。,0
I'm feeling really upset and kind of hopeless. I think I'm depressed.,我真的很沮丧，有点绝望。我想我很沮丧。,0
"So very sad, I am reliving a sad day on its anniversary.",非常难过，我正在一个悲伤日子的纪念日想起它。,0
"Terrible, someone broke into my house last night.",太可怕了，昨晚有人闯入我家。,0
My heart is heavy today.,今天我的心情很沉重。,0
I feel disappointed. I got betrayed by a friend.,我感到很失望。我被朋友出卖了。,0
I didn't feel like eating breakfast because I was so sad.,我不想吃早餐，因为我太难过了。,0
I am not okay. I just don't feel like getting up today.,我不好。我今天都不想起床。,0
Down in the dumps. My husband has gone back to the office to work and I'm alone.,在垂头丧气。我丈夫已经回办公室工作了，我一个人挺孤独。,0
Kind of terrible. My dad is sick and in hospital.,有点可怕。我爸爸生病住院了。,0
"Just okay, I guess. Feeling more down than up.",好吧，我想。感觉比起还低。,0
I could be much better,我可以做得更好。,0
I've got a bad case of the blues.,我心情有点低落。,0
"I am not doing well, the person I love talking to the most will not even acknowledge me anymore.",我过得不好，我最喜欢说话的人甚至不再理我了。,0
I can't seem to ever feel happy anymore because I have been saddened from losing my job.,我似乎再也感觉不到快乐了，因为我因失去工作而感到难过。,0
"Kind of blue, really. I can't seem to enjoy anything.",有点差劲，真的。我似乎无法享受任何东西。,0
I'm not feeling so great. I lost my favorite toy and I can't find it,我感觉不太好。我丢了我最喜欢的玩具，我找不到了,0
I just don't see the point in getting out of bed. Nothing feels good.,我只是不明白起床的意义。没有什么感觉很好。,0
I am not coping. I just feel like I could cry all the time.,我不应对。我只是觉得我可以一直哭。,0
I can't seem to get out of this low mood.,我似乎无法摆脱这种低落的情绪。,0
i'm not feeling great today,我今天感觉不太好,0
"Not good, I've been really low since X left.",不好，自从X离开后，我的情绪真的很低落。,0
"I feel terribly lonely, I don't have any friends, or a boyfriend",我感到非常孤独，我没有朋友，也没有男朋友,0
I wish I could be happy.,我希望我能快乐。,0
 Feeling kind of blah today as I got some bad news about some financial issues., 今天感觉有点无聊，因为我收到了一些关于一些财务问题的坏消息。,0
I am very upset right now,我现在很沮丧,0
"Pretty bad, my girlfriend dumped me.",很糟糕，我的女朋友甩了我。,0
I am a little upset and depressed this afternoon.,今天下午我有点沮丧。,0
Sad,伤心,0
I feel lazy,我觉得很懒,0
I feel kind of alone and sad today.,我今天感到有点孤独和悲伤。,0
I am feeling sad today.,我今天很难过。,0
My car needs serious repairs and I'm broke.,我的车需要大修，我破产了。,0
I am hurt right now because my best friend lied to me.,我现在很伤心，因为我最好的朋友对我撒了谎。,0
Today's not a good day.,今天不是个好日子。,0
I don't think anyone loves me.,我觉得没有人爱我。,0
Kind of feeling a dark cloud over me today.,今天有点感觉乌云笼罩着我。,0
It's not a good time for me.,这对我来说不是一个好时机。,0
"I'm depressed, I've never been able to get a girlfriend",我很郁闷，一直找不到女朋友,0
I am having a worst day,我度过了最糟糕的一天,0
I'm not fine,我不好,0
I am super sad,我超级难过,0
I'm on the verge of tears.  I just lost my job recently and the stress is really getting to me.,我快要热泪盈眶了。我最近刚丢了工作，我快受不了这个压力了。,0
Not so great. I failed my final exam.,不太好。我期末考试不及格。,0
Like there's a black cloud hanging over me.,仿佛有一朵乌云笼罩着我。,0
"i am not feeling good, i broke up",我感觉不好，我分手了,0
"Having just read the news this morning, I'm devastated.",今天早上刚看到新闻，我心态崩裂了。,0
I feel like crap,我感觉非常差,0
I don't know what I'm feeling,我不知道我的感受,0
"Bummed out I guess, I'm just tired...you know?  Tired of it all.",我想我很沮丧，我只是累了……你知道吗？厌倦了这一切。,0
I got into a fight with my boyfriend today.,今天和男朋友吵架了,0
I am very sad. My dog died and I can't handle the hurt.,我很难过。我的狗死了，我无法承受伤害。,0
Terrible. Car wouldnt start and it is really putting me down.,糟糕的。汽车无法启动，这真的让我失望。,0
"I feel very sad, I had an accident and my car broke down.",我感到非常难过，我出了车祸，我的车抛锚了。,0
I feel lonely in my life so I am very sad,我在我的生活中感到孤独所以我很伤心,0
I don't feel like doing anything.,我不想做任何事情。,0
A little sad. My father passed on recently.,有点难过。我父亲最近去世了。,0
I am unable to stay focus and I'm feeling lonely.,我无法集中注意力，感到孤独。,0
"I feel awful, my girlfriend dumped me, now I have no one, I am truly feeling down.",我觉得很糟糕，我的女朋友甩了我，现在我没有人了，我真的很沮丧。,0
"I'm so sad every day, I've just been miserable since the accident.",我每天都很难过，自从那次事故后我一直很痛苦。,0
"I am really down, I feel depressed and devoid of motivation.",我真的很沮丧，我感到沮丧，没有动力。,0
I don't have much energy to do anything.,我没有太多精力去做任何事情。,0
I suffered a loss due to the pandemic,疫情让我失去了个人,0
I am feeling down,我情绪低落,0
even more useless than usual,比平时更没用,0
I feel sad and depressed,我感到悲伤和沮丧,0
I am not well at all... I am totally disheartened,我一点都不舒服，我完全心灰意冷,0
"Okay, where do I even start. I am so sad that I am having a hard time typing.",好吧，我该从哪里开始呢。我很难过，我很难打字。,0
"I can't carry on like this, the pain is too much",我不能再这样下去了，太痛苦了,0
"So so, my mood is very dark today.",所以，我今天的心情很阴郁。,0
I am feeling devastated as I have lost my grandfather recently,最近我失去了我的祖父，我感到很沮丧,0
"So so, nothing really seems to make me happy at the moment.",所以，目前似乎没有什么能让我开心。,0
I feel very lonely as my friends will not make it to my birthday party.,我感到很孤独，因为我的朋友不会参加我的生日聚会。,0
I am totally irritated about the actions of my friend,我对我朋友的行为感到非常恼火,1
I am really angry,我很生气,1
I am disgusted with the customer service executive as she refused to see reason as I narrated my problem,我对客户服务主管感到反感，因为她在我叙述我的问题时拒绝看清原因,1
I am feeling angry. I lost my money,我很生气。我丢了钱,1
I'm mad because I can't find my debit card.,我很生气，因为我找不到借记卡。,1
I'm so pissed off at my co-worker for taking credit for my work.,我很生气我的同事因为我的工作而受到赞扬。,1
"Not very good, I have had a very frustrating day.",不太好，我度过了非常沮丧的一天。,1
Not great. I'm pissed at a coworker of mine.,不是很好。我对我的一个同事很生气。,1
I've been pushed to the point of aggravation and lost my cool.,我被推到了恶化的地步，失去了冷静。,1
I'm furious. Nothing is going right!,我很生气。一切都不正常！,1
"I'm pretty angry right now. My partner cheated on me, and it's driving me up the wall.",我现在很生气。我的搭档欺骗了我，这让我很沮丧。,1
I'm pissed because I was fired for no reason,我很生气，因为我被无故解雇了,1
I'm very disappointed.,我非常失望。,1
I have been beeling so much anger and hate lately towards the political situations going on.,我最近对正在发生的政治局势充满了愤怒和仇恨。,1
I'm really annoyed right now. I just had an argument with someone who accused me of something I didn't do.,我现在真的很生气。我刚刚和一个指责我没有做的事情的人发生了争执。,1
I have begun to feel really angry again,我又开始真的生气了,1
"Actually, I am mad about having to work overtime all this week.",事实上，我这周都在加班，这让我很生气。,1
I'm just really mad all the time,我只是一直很生气,1
I'm pissed off because my brother stole fifty dollars from me.,我很生气，因为我哥哥偷了我 50 美元。,1
I'm pissed.  My boss wrote me up!,我很生气。我老板给我写的！,1
I am upset.,我很心烦。,1
I am not feeling good today.,我今天感觉不太好。,1
I'm very mad,我很生气,1
I am fucking pissed.,我他妈的气死了。,1
I feel very angry because a stranger attacked me.,我感到非常生气，因为一个陌生人袭击了我。,1
"Everyone is against me - my boss, my husband and my kids.",每个人都反对我——我的老板、我的丈夫和我的孩子。,1
I am angry with my friend because he disobeyed me.,我对我的朋友很生气，因为他不服从我。,1
I'm pissed off.,我很生气。,1
I'm so pissed off right now and I don't know why.,我现在很生气，我不知道为什么。,1
Terrible,很糟糕,1
I feel angry right now.,我现在感到很生气。,1
I'm not good at all. Pretty upset actually.,我一点都不好。其实挺烦的。,1
I am not fine. I have too much work pressure on my head .,我不好。我头上的工作压力太大了。,1
My boss just fired me for some bullshit!,我的老板只是因为我胡说八道而解雇了我！,1
I am pissed off.,我很生气。,1
My best friend found someone else to hang out with all the time.,我最好的朋友找到了一个可以一直出去玩的人。,1
I'm really upset. I unfairly lost out on a big promotion at work.,我真的很生气。我不公平地失去了工作中的大晋升。,1
I failed another class and I'm so mad at myself for it.,我在另一门课上不及格，为此我很生自己的气。,1
I'm pissed,我很生气,1
I'm really pissed at my ex.,我真的很生气我的前任。,1
I can't stand my life and apparently neither can my partner because she's gone.,我不能忍受我的生活，显然我的伴侣也不能，因为她已经走了。,1
I am so mad that my friend was flirting with my boyfriend and I don't know how to handle it.,我很生气，我的朋友和我男朋友调情，我不知道如何处理。,1
Terrible - I feel like I need to hurt someone.,太糟糕了 - 我觉得我需要伤害某人。,1
"I'm not fine, my team was disqualified and I lost $100 on the bet with my friend and I'm really mad. It's the team's fault that I feel this way.",我不好，我的团队被取消了资格，我和朋友打赌输了 100 美元，我真的很生气。我有这种感觉是球队的错。,1
"I'm feeling crap, I just got some really irritating news",我感觉很糟糕，我刚刚得到了一些非常令人恼火的消息,1
I am mad at my boss for embarassing me in front of my coworkers.,我很生气我的老板在我的同事面前让我难堪。,1
I can't take it anymore.,我再也受不了了。,1
I'm angry with my spouse,我对我的配偶生气,1
Furious. Everyone is bugging me non stop at work.,狂怒。每个人都在不停地打扰我工作。,1
I am so pissed off at my boyfriend for not telling me the truth.,我很生气我男朋友没有告诉我真相。,1
I'm super pissed.,我超级生气,1
I am livid at what is going on with my roommate,我对我室友发生的事情很生气,1
I'm very upset,我很不高兴,1
I'm so angry for something that happened today.,我为今天发生的事情而生气。,1
I am pretty pissed off to be honest.,老实说，我很生气。,1
That is not your business,那不是你的事,1
I feel really upset about how I have been treated.,我对自己受到的对待感到非常沮丧。,1
I'm just in a pissed off mood.,我只是在生气。,1
I am mad.,我生气了。,1
My manager scolded me so i am angry,我的经理骂我所以我很生气,1
I am furious right now because I failed my test,我现在很生气，因为我没有通过考试,1
I'm pissed.,我很生气。,1
"Some idiot just almost caused a car accident, and I'm pissed about it.",一个白痴差点造成车祸，让我很生气。,1
"I feel terrible, angry, hateful.",我觉得很可怕，很生气，很可恨。,1
I am not okay. I don't know why all this is happening to me.,我不好。我不知道为什么这一切都发生在我身上。,1
"I'm really pissed, they made fun of me at school but I couldn't do anything about it",我真的很生气，他们在学校取笑我，但我对此无能为力,1
I am so angry for something that happened today.,我为今天发生的事情感到非常生气。,1
"I'm not OK, I'm very angry at my partner because he said some irritating sentence",我不好，我对我的搭档很生气，因为他说了一些令人恼火的句子,1
I am pissed,我很生气,1
Not great.  Everything seems to be frustrating me lately and it's taking a lot of effort for me to remain calm.,不是很好。最近似乎一切都让我感到沮丧，我需要付出很多努力才能保持冷静。,1
Extremely angry! My wife left me!,极度愤怒！老婆离我而去！,1
I'm very angry,我非常生气,1
"i am not ok, i got really angry when a stranger hit my car",我不好，当陌生人撞到我的车时，我真的很生气,1
I need to take a social media break,我需要休息一下社交媒体,1
I'm disgusted with the world,我对这个世界感到厌恶,1
I'm angry,我生气,1
"I'm pissed at my parents, they're always trying to control me.",我对我的父母很生气，他们总是试图控制我。,1
I am feeling worked up about something that happened at work last week.,我对上周在工作中发生的事情感到很生气。,1
I am pissed at myself.,我生自己的气。,1
"Pissed, completely over all this. I just walked out on my job.",生气了，彻底结束了这一切。我刚出去工作。,1
Leave me alone,请别打扰我,1
i am not good because my friends are bullying me,我不好是因为我的朋友欺负我,1
I hate my day so far.,到目前为止，我讨厌我的一天。,1
Not too good. I feel like quitting my job.,不是很好。我想辞掉我的工作。,1
I'm really pissed off today.,我今天真的很生气。,1
"I'm mad as a hornet, I want to punch someone.",我像大黄蜂一样生气，我想打人。,1
"I'm really annoyed, I couldn't get anything done at work today.",我真的很生气，我今天在工作中无法完成任何事情。,1
"I am so mad right now, I can't believe I was taken for a fool.",我现在很生气，我不敢相信我被当成了傻子。,1
